ENTO_ID,Target_Organism_Name,Target_Type,Taxonomy_ID,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus
ENTO00166,Candida albicans DSM 1665,ORGANISM,5476,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Candida
ENTO00167,Candida albicans FIM 709,ORGANISM,5476,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Candida
ENTO00168,Candida albicans GIM 2.169,ORGANISM,5476,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Candida
ENTO00169,Candida albicans ID00148,ORGANISM,5476,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Candida
ENTO00170,Candida albicans IFO 1594,ORGANISM,5476,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Candida
ENTO00171,Candida albicans KF1,ORGANISM,5476,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Candida
ENTO00172,Candida albicans MTCC 227,ORGANISM,5476,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Candida
ENTO00173,Candida albicans MTCC 3017,ORGANISM,5476,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Candida
ENTO00174,Candida albicans MTCC 3018,ORGANISM,5476,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Candida
ENTO00175,Candida albicans MTCC 4748,ORGANISM,5476,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Candida
ENTO00176,Candida albicans NCIM No. 3471,ORGANISM,5476,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Candida
ENTO00177,Candida albicans OUT 6266,ORGANISM,5476,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Candida
ENTO00178,Candida albicans SC5314,ORGANISM,237561,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Candida
ENTO00179,Candida albicans strains 109,ORGANISM,5476,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Candida
ENTO00180,Candida albicans strains wisconsin,ORGANISM,5476,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Candida
ENTO00181,Candida albicans YM 2005,ORGANISM,5476,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Candida
ENTO00182,Candida glabrata,ORGANISM,5478,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Nakaseomyces
ENTO00183,Candida glabrata ATCC 90030,ORGANISM,5478,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Nakaseomyces
ENTO00184,Candida glabrata MTCC 3019,ORGANISM,5478,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Nakaseomyces
ENTO00185,Carbapenems-resistant Acinetobacter baumannii,ORGANISM,470,Bacteria,No Rank at Level Kingdom,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter
ENTO00186,Carbapenems-resistant Acinetobacter baumannii 1,ORGANISM,470,Bacteria,No Rank at Level Kingdom,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter
ENTO00187,Carbapenems-resistant Escherichia coli,ORGANISM,562,Bacteria,No Rank at Level Kingdom,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
ENTO00188,Carbapenems-resistant Klebsiella pneumoniae,ORGANISM,573,Bacteria,No Rank at Level Kingdom,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella
ENTO00189,Carbapenems-resistant Pseudomonas aeruginosa,ORGANISM,287,Bacteria,No Rank at Level Kingdom,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
ENTO00190,Carbapenems-resistant Pseudomonas aeruginosa 38,ORGANISM,287,Bacteria,No Rank at Level Kingdom,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
ENTO00191,Ceratobasidium cornigerum,ORGANISM,5252,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae,Ceratobasidium
ENTO00192,Ceratobasidium cornigerum QDAU-8,ORGANISM,5252,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae,Ceratobasidium
ENTO00193,Ceratobasidium cornigerum QDAUNA6,ORGANISM,5252,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae,Ceratobasidium
ENTO00194,Chlorella fusca,ORGANISM,3073,Eukaryota,Viridiplantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Scenedesmus
ENTO00195,Chlorocebus pygerythrus,ORGANISM,60710,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Cercopithecidae,Chlorocebus
ENTO00196,Chlorocebus sabaeus,ORGANISM,60711,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Cercopithecidae,Chlorocebus
ENTO00197,Chloroquine-resistant (Dd2) Plasmodium falciparum,ORGANISM,5833,Eukaryota,No Rank at Level Kingdom,Apicomplexa,Aconoidasida,Haemosporida,Plasmodiidae,Plasmodium
ENTO00198,Chloroquine-resistant (W2)-Strain of Plasmodium falciparum,ORGANISM,5833,Eukaryota,No Rank at Level Kingdom,Apicomplexa,Aconoidasida,Haemosporida,Plasmodiidae,Plasmodium
ENTO00199,Chloroquine-resistant Plasmodium falciparum,ORGANISM,5833,Eukaryota,No Rank at Level Kingdom,Apicomplexa,Aconoidasida,Haemosporida,Plasmodiidae,Plasmodium
ENTO00200,Chloroquine-sensitive (3D7) Plasmodium falciparum,ORGANISM,5833,Eukaryota,No Rank at Level Kingdom,Apicomplexa,Aconoidasida,Haemosporida,Plasmodiidae,Plasmodium
ENTO00201,Chloroquine-sensitive (D6)-Strain of Plasmodium falciparum,ORGANISM,5833,Eukaryota,No Rank at Level Kingdom,Apicomplexa,Aconoidasida,Haemosporida,Plasmodiidae,Plasmodium
ENTO00202,Chloroquine-sensitive Plasmodium falciparum,ORGANISM,5833,Eukaryota,No Rank at Level Kingdom,Apicomplexa,Aconoidasida,Haemosporida,Plasmodiidae,Plasmodium
ENTO00203,Chromobacterium violaceum CV026,ORGANISM,536,Bacteria,No Rank at Level Kingdom,Pseudomonadota,Betaproteobacteria,Neisseriales,Chromobacteriaceae,Chromobacterium
ENTO00204,Chromobacterium violaceum DSM 30191,ORGANISM,536,Bacteria,No Rank at Level Kingdom,Pseudomonadota,Betaproteobacteria,Neisseriales,Chromobacteriaceae,Chromobacterium
ENTO00205,Citrobacter freundii,ORGANISM,546,Bacteria,No Rank at Level Kingdom,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter
ENTO00206,Cladosporium cladosporioides,ORGANISM,29917,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Cladosporiales,Cladosporiaceae,Cladosporium
ENTO00207,Cladosporium cladosporioides FERMS-9,ORGANISM,29917,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Cladosporiales,Cladosporiaceae,Cladosporium
ENTO00208,Cladosporium cucumerinum NBRC 6370,ORGANISM,166633,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Cladosporiales,Cladosporiaceae,Cladosporium
ENTO00209,Cladosporium oxysporum,ORGANISM,29919,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Cladosporiales,Cladosporiaceae,Cladosporium
ENTO00210,Cladosporium sphaerospermum,ORGANISM,92950,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Cladosporiales,Cladosporiaceae,Cladosporium
ENTO00211,Clarireedia homoeocarpa,ORGANISM,1436886,Eukaryota,Fungi,Ascomycota,Leotiomycetes,Helotiales,Rutstroemiaceae,Clarireedia
ENTO00212,Clavibacter michiganensis,ORGANISM,28447,Bacteria,No Rank at Level Kingdom,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Clavibacter
ENTO00213,Clavibacter michiganensis subsp. michiganensis,ORGANISM,28447,Bacteria,No Rank at Level Kingdom,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Clavibacter
ENTO00214,Clavibacter michiganensis subsp. Sepedonicus,ORGANISM,28447,Bacteria,No Rank at Level Kingdom,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Clavibacter
ENTO00215,"Clinical drug-resistant Mycobacterium tuberculosis strain (K0903557, resistant to INH)",ORGANISM,1773,Bacteria,No Rank at Level Kingdom,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycobacterium
ENTO00216,Clinical drug-sensitive Mycobacterium tuberculosis strain (0907762),ORGANISM,1773,Bacteria,No Rank at Level Kingdom,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycobacterium
ENTO00217,"Clinical extensively drug-resistant (XDR) Mycobacterium avium-intracellulare strain (K0803182, resistant to SM, INH, RFP, levofloxacin [LVFX], protionamide and isoniazid aminosalicylate)",ORGANISM,1764,Bacteria,No Rank at Level Kingdom,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycobacterium
ENTO00218,"Clinical MDR Mycobacterium tuberculosis strain (0907961, resistant to SM and EMB)",ORGANISM,1773,Bacteria,No Rank at Level Kingdom,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycobacterium
ENTO00219,"Clinical MDR Mycobacterium tuberculosis strain (K2903531, resistant to SM, INH, RFP and EMB)",ORGANISM,1773,Bacteria,No Rank at Level Kingdom,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycobacterium
ENTO00220,Clostridium pasteurianum MTCC 116,ORGANISM,1501,Bacteria,No Rank at Level Kingdom,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium
ENTO00221,Clostridium perfringens,ORGANISM,1502,Bacteria,No Rank at Level Kingdom,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium
ENTO00222,Clostridium perfringens ATCC 13048,ORGANISM,1502,Bacteria,No Rank at Level Kingdom,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium
ENTO00223,Clostridium perfringens ATCC 13124,ORGANISM,195103,Bacteria,No Rank at Level Kingdom,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium
ENTO00224,Colletotrichum abscissum,ORGANISM,1671311,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum
ENTO00225,Colletotrichum acutatum,ORGANISM,27357,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum
ENTO00226,Colletotrichum acutatum HNMRC 178,ORGANISM,27357,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum
ENTO00227,Colletotrichum acutatum Simmonds,ORGANISM,27357,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum
ENTO00228,Colletotrichum ampelinum,ORGANISM,509211,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum
ENTO00229,Colletotrichum asianum,ORGANISM,702518,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum
ENTO00230,Colletotrichum asianum HNM 408,ORGANISM,702518,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum
ENTO00231,Colletotrichum coccodes,ORGANISM,27358,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum
ENTO00232,Colletotrichum coccodes ACCC 36067,ORGANISM,27358,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum
ENTO00233,Colletotrichum fragariae,ORGANISM,27359,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum
ENTO00234,Colletotrichum gloeosporioides,ORGANISM,474922,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum
ENTO00235,Colletotrichum gloeosporioides Penz QDAU-9,ORGANISM,474922,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum
ENTO00236,Colletotrichum gloeosporioides Penz QDIONA22,ORGANISM,474922,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum
ENTO00237,Colletotrichum gloeosporioides Penz Sacc,ORGANISM,474922,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum
ENTO00238,Colletotrichum gloeosporioides QDAU-2,ORGANISM,474922,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum
ENTO00239,Colletotrichum gloeosporioides QDAU-31,ORGANISM,474922,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum
ENTO00240,Colletotrichum gloeosporioides UBC 9312,ORGANISM,474922,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum
ENTO00241,Colletotrichum gloeosporioides YM 3012,ORGANISM,474922,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum
ENTO00242,Colletotrichum graminicola,ORGANISM,31870,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum
ENTO00243,Colletotrichum lagenarium,ORGANISM,5462,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum
ENTO00244,Colletotrichum lindemuthianum,ORGANISM,290576,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum
ENTO00245,Colletotrichum musae,ORGANISM,5464,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum
ENTO00246,Colletotrichum musae (Berk. and M. A. Curtis) Arx.,ORGANISM,5464,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum
ENTO00247,Colletotrichum musae ACCC 31244,ORGANISM,5464,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum
ENTO00248,Colletotrichum musae BNCC 226680,ORGANISM,5464,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum
ENTO00249,Colletotrichum orbiculare,ORGANISM,5465,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum
ENTO00250,Colletotrichum truncatum,ORGANISM,5467,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum
ENTO00251,Coniothyrium diplodiella,ORGANISM,332405,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Diaporthales,Schizoparmaceae,Coniella
ENTO00252,Cordyceps militaris,ORGANISM,73501,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Cordycipitaceae,Cordyceps
ENTO00253,Corynespora cassiicola,ORGANISM,59586,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Corynesporascaceae,Corynespora
ENTO00254,Corynespora cassiicola Simmonds,ORGANISM,59586,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Corynesporascaceae,Corynespora
ENTO00255,Corynespora torulosa,ORGANISM,1414617,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Corynesporascaceae,Corynespora
ENTO00256,Coxsackievirus A16,ORGANISM,31704,Viruses,Orthornavirae,Pisuviricota,Pisoniviricetes,Picornavirales,Picornaviridae,Enterovirus
ENTO00257,Cricetulus griseus,ORGANISM,10029,Eukaryota,Metazoa,Chordata,Mammalia,Rodentia,Cricetidae,Cricetulus
ENTO00258,Cryphonectria parasitica,ORGANISM,5116,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Diaporthales,Cryphonectriaceae,Cryphonectria
ENTO00259,Cryptococcus gattii VGI,ORGANISM,37769,Eukaryota,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Cryptococcaceae,Cryptococcus
ENTO00260,Cryptococcus neoformans,ORGANISM,5207,Eukaryota,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Cryptococcaceae,Cryptococcus
ENTO00261,Cryptococcus neoformans ATCC 208821,ORGANISM,5207,Eukaryota,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Cryptococcaceae,Cryptococcus
ENTO00262,Cryptococcus neoformans ATCC 90113,ORGANISM,5207,Eukaryota,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Cryptococcaceae,Cryptococcus
ENTO00263,Cryptococcus neoformans var. grubii,ORGANISM,5207,Eukaryota,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Cryptococcaceae,Cryptococcus
ENTO00264,Cryptococcus neoformans var. grubii H99,ORGANISM,5207,Eukaryota,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Cryptococcaceae,Cryptococcus
ENTO00265,Cucumis sativus,ORGANISM,3659,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Cucumis
ENTO00266,Culex pipiens,ORGANISM,7175,Eukaryota,Metazoa,Arthropoda,Insecta,Diptera,Culicidae,Culex
ENTO00267,Culex quinquefasciatus,ORGANISM,7176,Eukaryota,Metazoa,Arthropoda,Insecta,Diptera,Culicidae,Culex
ENTO00268,Culex quinquefasciatus (fourth instar),ORGANISM,7176,Eukaryota,Metazoa,Arthropoda,Insecta,Diptera,Culicidae,Culex
ENTO00269,Culex quinquefasciatus (third instar),ORGANISM,7176,Eukaryota,Metazoa,Arthropoda,Insecta,Diptera,Culicidae,Culex
ENTO00270,Curvularia australiensis,ORGANISM,91365,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Curvularia
ENTO00271,Curvularia lunata,ORGANISM,5503,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Curvularia
ENTO00272,Curvularia lunata YM3034,ORGANISM,5503,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Curvularia
ENTO00273,Curvularia spicifera,ORGANISM,145392,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Curvularia
ENTO00274,Curvularia spicifera QDAUNA29,ORGANISM,145392,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Curvularia
ENTO00275,Cutibacterium acnes ATCC6919,ORGANISM,1747,Bacteria,No Rank at Level Kingdom,Actinomycetota,Actinomycetes,Propionibacteriales,Propionibacteriaceae,Cutibacterium
ENTO00276,Cylindrotheca closterium,ORGANISM,2856,Eukaryota,No Rank at Level Kingdom,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Cylindrotheca
ENTO00277,Cytospora mandshurica Miura,ORGANISM,117544,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Diaporthales,Valsaceae,No Rank at Level Genus
ENTO00278,Danio rerio,ORGANISM,7955,Eukaryota,Metazoa,Chordata,Actinopteri,Cypriniformes,Danionidae,Danio
ENTO00279,Daucus carota,ORGANISM,4039,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Apiales,Apiaceae,Daucus
ENTO00280,Dengue virus type 3,ORGANISM,11069,Viruses,Orthornavirae,Kitrinoviricota,Flasuviricetes,Amarillovirales,Flaviviridae,Flavivirus
ENTO00281,Diaporthe ampelina,ORGANISM,1214573,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Diaporthales,Diaporthaceae,Diaporthe
ENTO00282,Diaporthe rudis,ORGANISM,1469661,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Diaporthales,Diaporthaceae,Diaporthe
ENTO00283,Digitaria ciliaris,ORGANISM,66018,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Digitaria
ENTO00284,Drug-resistant Acinetobacter baumannii ATCC BAA-1605,ORGANISM,470,Bacteria,No Rank at Level Kingdom,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter
ENTO00285,Dryadomyces quercus-mongolicae,ORGANISM,1423150,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Ophiostomatales,Ophiostomataceae,Dryadomyces
ENTO00286,Echinochloa crus-galli,ORGANISM,90397,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Echinochloa
ENTO00287,Eclipta prostrata,ORGANISM,53719,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Eclipta
ENTO00288,Edwardsiella ictaluri,ORGANISM,67780,Bacteria,No Rank at Level Kingdom,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Hafniaceae,Edwardsiella
ENTO00289,Edwardsiella megi QDIO-10,ORGANISM,NA,Bacteria,No Rank at Level Kingdom,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Hafniaceae,Edwardsiella
ENTO00290,Edwardsiella tarda,ORGANISM,636,Bacteria,No Rank at Level Kingdom,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Hafniaceae,Edwardsiella
ENTO00291,Edwardsiella tarda QDIO-2,ORGANISM,636,Bacteria,No Rank at Level Kingdom,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Hafniaceae,Edwardsiella
ENTO00292,Entamoeba moshkovskii ATCC 30041,ORGANISM,41668,Eukaryota,No Rank at Level Kingdom,Evosea,No Rank at Level Class,Mastigamoebida,Entamoebidae,Entamoeba
ENTO00293,Enterobacter cloacae,ORGANISM,550,Bacteria,No Rank at Level Kingdom,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter
ENTO00294,Enterobacter cloacae ATCC 13047,ORGANISM,550,Bacteria,No Rank at Level Kingdom,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter
ENTO00295,Enterococcus faecalis,ORGANISM,1351,Bacteria,No Rank at Level Kingdom,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus
ENTO00296,Enterococcus faecalis ATCC 29212,ORGANISM,1201292,Bacteria,No Rank at Level Kingdom,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus
ENTO00297,Enterococcus faecalis ATCC 35667,ORGANISM,1351,Bacteria,No Rank at Level Kingdom,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus
ENTO00298,Enterococcus faecalis ATCC 51299,ORGANISM,1351,Bacteria,No Rank at Level Kingdom,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus
ENTO00299,Enterococcus faecalis ATCC 700221,ORGANISM,1351,Bacteria,No Rank at Level Kingdom,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus
ENTO00300,Enterococcus faecalis NBRC 100480,ORGANISM,1351,Bacteria,No Rank at Level Kingdom,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus
ENTO00301,Enterococcus faecalis PAG102,ORGANISM,1351,Bacteria,No Rank at Level Kingdom,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus
ENTO00302,Enterococcus faecalis UW 2689,ORGANISM,1351,Bacteria,No Rank at Level Kingdom,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus
ENTO00303,Enterococcus faecium,ORGANISM,1352,Bacteria,No Rank at Level Kingdom,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus
ENTO00304,Enterococcus faecium ATCC 35667,ORGANISM,1352,Bacteria,No Rank at Level Kingdom,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus
ENTO00305,Enterococcus faecium ATCC 49624,ORGANISM,1352,Bacteria,No Rank at Level Kingdom,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus
ENTO00306,Enterococcus faecium ATCC 700221,ORGANISM,1352,Bacteria,No Rank at Level Kingdom,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus
ENTO00307,Enterococcus faecium VanA,ORGANISM,1352,Bacteria,No Rank at Level Kingdom,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus
ENTO00308,Enterovirus A71,ORGANISM,39054,Viruses,Orthornavirae,Pisuviricota,Pisoniviricetes,Picornavirales,Picornaviridae,Enterovirus
ENTO00309,Epicoccum nigrum,ORGANISM,105696,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Epicoccum
ENTO00310,Epidermophyton floccosum,ORGANISM,34391,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Onygenales,Arthrodermataceae,Epidermophyton
ENTO00311,Eruca vesicaria subsp. sativa,ORGANISM,29727,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Brassicales,Brassicaceae,Eruca
ENTO00312,Erwinia amylovora,ORGANISM,552,Bacteria,No Rank at Level Kingdom,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Erwinia
ENTO00313,Erwinia sp.,ORGANISM,558,Bacteria,No Rank at Level Kingdom,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Erwinia
ENTO00314,ESBL-producing Escherichia coli ATCC 35218,ORGANISM,562,Bacteria,No Rank at Level Kingdom,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
ENTO00315,Escherichia coli,ORGANISM,562,Bacteria,No Rank at Level Kingdom,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
ENTO00316,Escherichia coli 443,ORGANISM,562,Bacteria,No Rank at Level Kingdom,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
ENTO00317,Escherichia coli ATCC 0111,ORGANISM,562,Bacteria,No Rank at Level Kingdom,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
ENTO00318,Escherichia coli ATCC 11775,ORGANISM,562,Bacteria,No Rank at Level Kingdom,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
ENTO00319,Escherichia coli ATCC 2469,ORGANISM,562,Bacteria,No Rank at Level Kingdom,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
ENTO00320,Escherichia coli ATCC 25922,ORGANISM,1322345,Bacteria,No Rank at Level Kingdom,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
ENTO00321,Escherichia coli ATCC 25928,ORGANISM,562,Bacteria,No Rank at Level Kingdom,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
ENTO00322,Escherichia coli ATCC 28739,ORGANISM,562,Bacteria,No Rank at Level Kingdom,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
