ENS_ID,Name,Tax_ID,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,GenBank_ID,Closest_GenBank_ID,Endophyte_Type
ENS00148,Aspergillus pseudonomiae isolate J1,1506151,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,MW600554,NA,Endophytic Fungus
ENS00149,Aspergillus sp. Vmt1,5065,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,KY350849,NA,Endophytic Fungus
ENS00150,Aspergillus sp. 085242,1340173,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,KC816018.1,NA,Endophytic Fungus
ENS00151,Aspergillus sp. 16-5B,5065,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,KP059102,NA,Endophytic Fungus
ENS00152,Aspergillus sp. 16-5C,1284283,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,JX993829,NA,Endophytic Fungus
ENS00153,Aspergillus sp. AP5,5065,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,MN519725,NA,Endophytic Fungus
ENS00154,Aspergillus sp. ASCLA,5065,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,MH665645.1,NA,Endophytic Fungus
ENS00155,Aspergillus sp. CM9a,5065,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,NA,NA,Endophytic Fungus
ENS00156,Aspergillus sp. CPCC 400735,5065,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,MF576131,NA,Endophytic Fungus
ENS00157,Aspergillus sp. EJC08,5065,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,NA,NA,Endophytic Fungus
ENS00158,Aspergillus sp. FT1307,5065,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,MW774248,NA,Endophytic Fungus
ENS00159,Aspergillus sp. GXNU-Y45,5065,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,MT626059,NA,Endophytic Fungus
ENS00160,Aspergillus sp. GZWMJZ-055,5065,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,KY038594,NA,Endophytic Fungus
ENS00161,Aspergillus sp. GZWMJZ-258,5065,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,MH806686,NA,Endophytic Fungus
ENS00162,Aspergillus sp. HDZK-BYF21,5065,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,NA,KC907367,Endophytic Fungus
ENS00163,Aspergillus sp. IFB-YXS,5065,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,NA,NA,Endophytic Fungus
ENS00164,Aspergillus sp. isolate 658,5065,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,OL545267,NA,Endophytic Fungus
ENS00165,Aspergillus sp. J215,5065,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,NA,NA,Endophytic Fungus
ENS00166,Aspergillus sp. MBL1612,1562343,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,MK050581,NA,Endophytic Fungus
ENS00167,Aspergillus sp. N830,5065,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,MH814638.1,NA,Endophytic Fungus
ENS00168,Aspergillus sp. SK-28,5065,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,MN428770,NA,Endophytic Fungus
ENS00169,Aspergillus sp. TJ23,5065,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,KY346978,NA,Endophytic Fungus
ENS00170,Aspergillus sp. TRL1,5065,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,NA,NA,Endophytic Fungus
ENS00171,Aspergillus sp. XJA6,5065,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,MK736352,NA,Endophytic Fungus
ENS00172,Aspergillus sp. xy02,5065,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,MG798655,NA,Endophytic Fungus
ENS00173,Aspergillus sp. YJ191021,5065,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,NA,NA,Endophytic Fungus
ENS00174,Aspergillus sp. YXf3,5065,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,NA,NA,Endophytic Fungus
ENS00175,Aspergillus sp. ZJ-68,5065,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,MK629267,NA,Endophytic Fungus
ENS00176,Aspergillus sydowii #2B,75750,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,MN784418,NA,Endophytic Fungus
ENS00177,Aspergillus tamarii,41984,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,MH094278,NA,Endophytic Fungus
ENS00178,Aspergillus tamarii FR02,41984,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,NA,NA,Endophytic Fungus
ENS00179,Aspergillus tennesseensis 1022LEF,1220210,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,MW898422,NA,Endophytic Fungus
ENS00180,Aspergillus tennesseensis strain OUCMB I 140430,1220210,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,MH785494,NA,Endophytic Fungus
ENS00181,Aspergillus terreus,33178,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,NA,NA,Endophytic Fungus
ENS00182,Aspergillus terreus AM2,33178,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,MW444551.1,NA,Endophytic Fungus
ENS00183,Aspergillus terreus C23-3,33178,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,MG707631.1,NA,Endophytic Fungus
ENS00184,Aspergillus terreus EN-539,33178,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,KX641491,NA,Endophytic Fungus
ENS00185,Aspergillus terreus F7,33178,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,KF554491,NA,Endophytic Fungus
ENS00186,Aspergillus terreus GMEF1,33178,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,NA,NA,Endophytic Fungus
ENS00187,Aspergillus terreus H010,33178,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,KU594266,NA,Endophytic Fungus
ENS00188,Aspergillus terreus isolate DMY6_ITS1,33178,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,MN832994,NA,Endophytic Fungus
ENS00189,Aspergillus terreus isolate MS3,33178,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,MH156195,NA,Endophytic Fungus
ENS00190,Aspergillus terreus JAS-2,33178,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,NA,NA,Endophytic Fungus
ENS00191,Aspergillus terreus No. GX7-3B,33178,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,KC461499,NA,Endophytic Fungus
ENS00192,Aspergillus terreus PR-P-2,33178,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,KP260560,NA,Endophytic Fungus
ENS00193,Aspergillus terreus strain WM 11.929,33178,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,KP131622,NA,Endophytic Fungus
ENS00194,Aspergillus tubingensis R43,5068,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,KJ476743,NA,Endophytic Fungus
ENS00195,Aspergillus tubingensis FJBJ11,5068,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,KP196359,NA,Endophytic Fungus
ENS00196,Aspergillus tubingensis S1120,5068,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,NA,NA,Endophytic Fungus
ENS00197,Aspergillus tubingensis strain AN103,5068,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,KR184138,NA,Endophytic Fungus
ENS00198,Aspergillus ustus TK-5,40382,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,MG596977,NA,Endophytic Fungus
ENS00199,Aspergillus versicolor,46472,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,NA,NA,Endophytic Fungus
ENS00200,Aspergillus versicolor OUCMDZ-2738,46472,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,MH150818,NA,Endophytic Fungus
ENS00201,Aspergillus versicolor strain XWF32-16,46472,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,MN310533.1,NA,Endophytic Fungus
ENS00202,Aspergillus versicolor SYSU-SKS025,46472,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,KY908464.1,NA,Endophytic Fungus
ENS00203,Aspergillus versicolor Y10,46472,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,KF381083,NA,Endophytic Fungus
ENS00204,Aspergillus versicolor YNCA1266,46472,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,KJ801852,NA,Endophytic Fungus
ENS00205,Aspergillus wentii EN-48,5066,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,HM014129,NA,Endophytic Fungus
ENS00206,Aurapex penicillata strain CR1207B,224451,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Diaporthales,Cryphonectriaceae,Aurapex,JQ864529,NA,Endophytic Fungus
ENS00207,Bacillus amyloliquefaciens BmB 1,1390,Bacteria,No Rank at Level Kingdom,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,NA,KF879305,Endophytic Bacteria
ENS00208,Bacillus amyloliquefaciens C5,1390,Bacteria,No Rank at Level Kingdom,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,MG655187,NA,Endophytic Bacteria
ENS00209,Bacillus amyloliquefaciens CFFSUR-B35,1390,Bacteria,No Rank at Level Kingdom,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,MW377567,NA,Endophytic Bacteria
ENS00210,Bacillus amyloliquefaciens strain RaSh1,1390,Bacteria,No Rank at Level Kingdom,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,MZ945930,NA,Endophytic Bacteria
ENS00211,Bacillus amyloliquefaciens YN201732,1390,Bacteria,No Rank at Level Kingdom,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,NA,NA,Endophytic Bacteria
ENS00212,Bacillus atrophaeus strain G050,1452,Bacteria,No Rank at Level Kingdom,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,KY127353,NA,Endophytic Bacteria
ENS00213,Bacillus cereus strain ChST,1396,Bacteria,No Rank at Level Kingdom,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,JF935135.1,NA,Endophytic Bacteria
ENS00214,Bacillus cereus strain DFT-7,1396,Bacteria,No Rank at Level Kingdom,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,KY750691.1,NA,Endophytic Bacteria
ENS00215,Bacillus halotolerans Cal.l.30,260554,Bacteria,No Rank at Level Kingdom,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,MW273438.1,NA,Endophytic Bacteria
ENS00216,Bacillus halotolerans JZ7,260554,Bacteria,No Rank at Level Kingdom,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,MH512910,NA,Endophytic Bacteria
ENS00217,Bacillus pumilus CFFSUR-B34,1408,Bacteria,No Rank at Level Kingdom,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,MW377566,NA,Endophytic Bacteria
ENS00218,Bacillus safensis strain B21,561879,Bacteria,No Rank at Level Kingdom,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,MK499471,NA,Endophytic Bacteria
ENS00219,Bacillus sp. BmB 9,1409,Bacteria,No Rank at Level Kingdom,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,NA,KP257289,Endophytic Bacteria
ENS00220,Bacillus sp. CaB 5,1409,Bacteria,No Rank at Level Kingdom,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,NA,FN645734,Endophytic Bacteria
ENS00221,Bacillus sp. CPC3,1097370,Bacteria,No Rank at Level Kingdom,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,JN700911.1,NA,Endophytic Bacteria
ENS00222,Bacillus sp. K1,745774,Bacteria,No Rank at Level Kingdom,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,CP093546,NA,Endophytic Bacteria
ENS00223,Bacillus sp. KL5,1409,Bacteria,No Rank at Level Kingdom,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,MW440687,NA,Endophytic Bacteria
ENS00224,Bacillus sp. RAR_M1_44,2876776,Bacteria,No Rank at Level Kingdom,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,OK649238,NA,Endophytic Bacteria
ENS00225,Bacillus sp. strain AS_3,1409,Bacteria,No Rank at Level Kingdom,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,MZ976848,NA,Endophytic Bacteria
ENS00226,Bacillus sp. strain AS_4,1409,Bacteria,No Rank at Level Kingdom,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,MZ976849,NA,Endophytic Bacteria
ENS00227,Bacillus sp. strain AS_5,1409,Bacteria,No Rank at Level Kingdom,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,MZ976850,NA,Endophytic Bacteria
ENS00228,Bacillus sp. strain KS1K7,1409,Bacteria,No Rank at Level Kingdom,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,OK266898,NA,Endophytic Bacteria
ENS00229,Bacillus sp. strain MHSD14,1409,Bacteria,No Rank at Level Kingdom,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,MN078166,NA,Endophytic Bacteria
ENS00230,Bacillus sp. strain MHSD28,1409,Bacteria,No Rank at Level Kingdom,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,MN029053,NA,Endophytic Bacteria
ENS00231,Bacillus subtilis 4NP-BL,1423,Bacteria,No Rank at Level Kingdom,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,MT447880,NA,Endophytic Bacteria
ENS00232,Bacillus subtilis CFFSUR-B31,1423,Bacteria,No Rank at Level Kingdom,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,MW377564,NA,Endophytic Bacteria
ENS00233,Bacillus subtilis PXJ-5,1423,Bacteria,No Rank at Level Kingdom,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,JQ956522.1,NA,Endophytic Bacteria
ENS00234,Bacillus thuringiensis,1428,Bacteria,No Rank at Level Kingdom,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,OM320575,NA,Endophytic Bacteria
ENS00235,Bacillus vallismortis ZZ185,72361,Bacteria,No Rank at Level Kingdom,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,FJ947003.1,NA,Endophytic Bacteria
ENS00236,Bacillus velezensis Ea73,492670,Bacteria,No Rank at Level Kingdom,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,MZ540895,NA,Endophytic Bacteria
ENS00237,Bacillus velezensis JRX-YG39,492670,Bacteria,No Rank at Level Kingdom,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,ON413871,NA,Endophytic Bacteria
ENS00238,Bacillus velezensis LHSB1,492670,Bacteria,No Rank at Level Kingdom,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,MN044879,NA,Endophytic Bacteria
ENS00239,Bacillus velezensis strain RaSh2,492670,Bacteria,No Rank at Level Kingdom,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,MZ945929,NA,Endophytic Bacteria
ENS00240,Bacillus velezensis TEB1,492670,Bacteria,No Rank at Level Kingdom,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,NA,NA,Endophytic Bacteria
ENS00241,Bacillus wiedmannii Com1,1890302,Bacteria,No Rank at Level Kingdom,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,MK240535,NA,Endophytic Bacteria
ENS00242,Berkleasmium sp. Dzf12,513168,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Tubeufiales,Tubeufiaceae,Berkleasmium,EU543255,NA,Endophytic Fungus
ENS00243,Bionectria sp. Y1085,2213019,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Bionectriaceae,Clonostachys,MH429795.1,NA,Endophytic Fungus
ENS00244,Bipolaris eleusines,91366,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Bipolaris,NA,KY909768.1,Endophytic Fungus
ENS00245,Bipolaris setariae,74419,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Bipolaris,KP722593,NA,Endophytic Fungus
ENS00246,Bipolaris sorokiniana A606,45130,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Bipolaris,KF494823,NA,Endophytic Fungus
ENS00247,Bipolaris sorokiniana CMON28,45130,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Bipolaris,JQ753978,NA,Endophytic Fungus
ENS00248,Bipolaris sorokiniana LK12,45130,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Bipolaris,NA,NA,Endophytic Fungus
ENS00249,Bipolaris sp.,1756142,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Bipolaris,NA,NA,Endophytic Fungus
ENS00250,Bipolaris sp. APS1,1756142,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Bipolaris,MH102384.1,NA,Endophytic Fungus
ENS00251,Bipolaris sp. DM-13,1756142,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Bipolaris,LC459402,NA,Endophytic Fungus
ENS00252,Bipolaris sp. MU34,1317098,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Bipolaris,AB813872,NA,Endophytic Fungus
ENS00253,Bipolaris sp. strain COC1,1756142,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Bipolaris,NA,HE861842,Endophytic Fungus
ENS00254,Bipolaris sp. TJ403-B1,1756142,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Bipolaris,MH545913,NA,Endophytic Fungus
ENS00255,Bipolaris sp. WT-9,1756142,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Bipolaris,MK931294,NA,Endophytic Fungus
ENS00256,Bipolaris victoriae S27,40125,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Bipolaris,MN856279.1,NA,Endophytic Fungus
ENS00257,Botryodiplodia theobromae,45133,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Botryosphaeriales,Botryosphaeriaceae,Lasiodiplodia,NA,NA,Endophytic Fungus
ENS00258,Botryosphaeria dothidea KJ-1,55169,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Botryosphaeriales,Botryosphaeriaceae,Botryosphaeria,NA,NA,Endophytic Fungus
ENS00259,Botryosphaeria dothidea VP53,55169,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Botryosphaeriales,Botryosphaeriaceae,Botryosphaeria,NA,NA,Endophytic Fungus
ENS00260,Botryosphaeria dothidea X-4,55169,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Botryosphaeriales,Botryosphaeriaceae,Botryosphaeria,NA,HQ416954,Endophytic Fungus
ENS00261,Botryosphaeria fabicerciana MGN23-3,1250541,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Botryosphaeriales,Botryosphaeriaceae,Botryosphaeria,MK290397,NA,Endophytic Fungus
ENS00262,Botryosphaeria ramosa L29,483999,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Botryosphaeriales,Botryosphaeriaceae,Botryosphaeria,MK370738,NA,Endophytic Fungus
ENS00263,Botryosphaeria rhodina,45133,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Botryosphaeriales,Botryosphaeriaceae,Lasiodiplodia,NA,NA,Endophytic Fungus
ENS00264,Botryosphaeria sp. P483,1820283,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Botryosphaeriales,Botryosphaeriaceae,Botryosphaeria,KT213569,NA,Endophytic Fungus
ENS00265,Botryosphaeria sp. SCSIO KcF6,1869280,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Botryosphaeriales,Botryosphaeriaceae,Botryosphaeria,KM246294,NA,Endophytic Fungus
ENS00266,Botryosphaeriaceae sp. strain BCC 54265,1769346,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Botryosphaeriales,Botryosphaeriaceae,No Rank at Level Genus,MF004417,NA,Endophytic Fungus
ENS00267,Burkholderia cenocepacia strain ETR-B22,95486,Bacteria,No Rank at Level Kingdom,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,MT708133,NA,Endophytic Bacteria
ENS00268,Burkholderia sp. GE 17,36773,Bacteria,No Rank at Level Kingdom,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,NA,NA,Endophytic Bacteria
ENS00269,Cadophora malorum Cs-8-1,108018,Eukaryota,Fungi,Ascomycota,Leotiomycetes,Helotiales,No Rank at Level Family,Cadophora,JN585942.1,NA,Endophytic Fungus
ENS00270,Camporesia sambuci FT1061,1867855,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Camporesia,KY971273,NA,Endophytic Fungus
ENS00271,Cerrena sp. A593,1814219,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Cerrenaceae,Cerrena,KU904221,NA,Endophytic Fungus
ENS00272,Chaetomiaceae sp. H2a,1227938,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,No Rank at Level Genus,JX292135,NA,Endophytic Fungus
ENS00273,Chaetomium brasiliense,1934393,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Ovatospora,NA,NA,Endophytic Fungus
ENS00274,Chaetomium fusiforme,5149,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,No Rank at Level Genus,NA,NA,Endophytic Fungus
ENS00275,Chaetomium globosporum,941762,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Chaetomium,KC109750.1,NA,Endophytic Fungus
ENS00276,Chaetomium globosum,38033,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Chaetomium,NA,NA,Endophytic Fungus
ENS00277,Chaetomium globosum 7s-1,38033,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Chaetomium,NA,NA,Endophytic Fungus
ENS00278,Chaetomium globosum CDW7,38033,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Chaetomium,JN588554,NA,Endophytic Fungus
ENS00279,Chaetomium globosum EF18,38033,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Chaetomium,GQ176272,NA,Endophytic Fungus
ENS00280,Chaetomium globosum IFB-E019,38033,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Chaetomium,NA,NA,Endophytic Fungus
ENS00281,Chaetomium globosum isolate DSE72,38033,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Chaetomium,MN416318,NA,Endophytic Fungus
ENS00282,Chaetomium globosum Kunze,38033,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Chaetomium,NA,NA,Endophytic Fungus
ENS00283,Chaetomium globosum L18,38033,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Chaetomium,GU564156,NA,Endophytic Fungus
ENS00284,Chaetomium globosum No.04,38033,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Chaetomium,NA,NA,Endophytic Fungus
ENS00285,Chaetomium globosum QEN-14,38033,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Chaetomium,EU001331,NA,Endophytic Fungus
ENS00286,Chaetomium globosum RDNM-04,38033,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Chaetomium,KP730436,NA,Endophytic Fungus
ENS00287,Chaetomium globosum strain CCTCC AF 206003,38033,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Chaetomium,DQ854987,NA,Endophytic Fungus
ENS00288,Chaetomium globosum strain DJ181,38033,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Chaetomium,MK330606,NA,Endophytic Fungus
ENS00289,Chaetomium globosum TY1,38033,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Chaetomium,NA,NA,Endophytic Fungus
ENS00290,Chaetomium globosum TY-2,38033,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Chaetomium,NA,NA,Endophytic Fungus
ENS00291,Chaetomium ovatoascomatis NRC,2598752,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Chaetomium,NA,NR165924,Endophytic Fungus
ENS00292,Chaetomium sp. 88194,1631639,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Chaetomium,KP171518,NA,Endophytic Fungus
ENS00293,Chaetomium sp. Eef-10,1769349,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Chaetomium,MK120863,NA,Endophytic Fungus
